section,name,variant,value,unit,ops,bytes,median_ticks,ns_per_op,gib_per_s,cv_percent,note
capability,cntfrq,cntfrq_el0,1000000000,Hz,0,0,0,0,0,0,fixed timer, not core cycles
capability,kperf,dlopen,available,,0,0,0,0,0,0,framework and kpc symbol visible
frontend_branch,data_branch,all_taken,,ns,200000,0,64452,0.322260000,0.000000,1.451801,inline asm branch over memory pattern
frontend_branch,data_branch,alternating,,ns,200000,0,86553,0.432765000,0.000000,40.751520,inline asm branch over memory pattern
frontend_branch,data_branch,lfsr_random,,ns,200000,0,200040,1.000200000,0.000000,1.314206,inline asm branch over memory pattern
frontend_ras,recursive_call,depth_1,,ns,100000,0,82803,0.828030000,0.000000,0.027977,watch for non-linear jumps as depth grows
frontend_ras,recursive_call,depth_2,,ns,150000,0,110386,0.735906667,0.000000,0.028723,watch for non-linear jumps as depth grows
frontend_ras,recursive_call,depth_4,,ns,250000,0,165588,0.662352000,0.000000,1.415826,watch for non-linear jumps as depth grows
frontend_ras,recursive_call,depth_8,,ns,450000,0,271575,0.603500000,0.000000,3.671079,watch for non-linear jumps as depth grows
frontend_ras,recursive_call,depth_16,,ns,850000,0,524882,0.617508235,0.000000,2.441806,watch for non-linear jumps as depth grows
frontend_ras,recursive_call,depth_24,,ns,1250000,0,726321,0.581056800,0.000000,1.037897,watch for non-linear jumps as depth grows
frontend_ras,recursive_call,depth_32,,ns,1650000,0,804624,0.487650909,0.000000,4.806300,watch for non-linear jumps as depth grows
frontend_ras,recursive_call,depth_48,,ns,2450000,0,1182268,0.482558367,0.000000,4.412504,watch for non-linear jumps as depth grows
frontend_ras,recursive_call,depth_64,,ns,3250000,0,15102160,4.646818462,0.000000,2.340179,watch for non-linear jumps as depth grows
frontend_icache,indirect_fanout,1_tiny_functions,,ns,200000,0,135904,0.679520000,0.000000,4.884406,64-byte aligned tiny functions; mixes I-cache, BTB, and indirect target prediction
frontend_icache,indirect_fanout,2_tiny_functions,,ns,200000,0,144337,0.721685000,0.000000,7.764374,64-byte aligned tiny functions; mixes I-cache, BTB, and indirect target prediction
frontend_icache,indirect_fanout,4_tiny_functions,,ns,200000,0,369170,1.845850000,0.000000,6.432093,64-byte aligned tiny functions; mixes I-cache, BTB, and indirect target prediction
frontend_icache,indirect_fanout,8_tiny_functions,,ns,200000,0,362336,1.811680000,0.000000,0.006293,64-byte aligned tiny functions; mixes I-cache, BTB, and indirect target prediction
frontend_icache,indirect_fanout,16_tiny_functions,,ns,200000,0,370854,1.854270000,0.000000,4.812120,64-byte aligned tiny functions; mixes I-cache, BTB, and indirect target prediction
frontend_icache,indirect_fanout,32_tiny_functions,,ns,200000,0,388603,1.943015000,0.000000,6.272211,64-byte aligned tiny functions; mixes I-cache, BTB, and indirect target prediction
frontend_icache,indirect_fanout,64_tiny_functions,,ns,200000,0,362336,1.811680000,0.000000,3.065924,64-byte aligned tiny functions; mixes I-cache, BTB, and indirect target prediction
memory_random,random_load64,64.0 KiB,,ns,200000,1600000,30809,0.154045000,48.366260,0.112915,permuted 64-bit addresses
memory_random,random_store64,64.0 KiB,,ns,200000,1600000,92844,0.464220000,16.049676,0.581633,permuted 64-bit addresses
memory_random,random_rmw64,64.0 KiB,,ns,400000,3200000,53744,0.134360000,55.452371,0.445757,load plus store at permuted address
memory_random,random_load64,128.0 KiB,,ns,200000,1600000,40643,0.203215000,36.663537,5.956011,permuted 64-bit addresses
memory_random,random_store64,128.0 KiB,,ns,200000,1600000,94178,0.470890000,15.822338,7.267787,permuted 64-bit addresses
memory_random,random_rmw64,128.0 KiB,,ns,400000,3200000,73369,0.183422500,40.619775,0.103724,load plus store at permuted address
memory_random,random_load64,256.0 KiB,,ns,200000,1600000,62619,0.313095000,23.796549,10.663464,permuted 64-bit addresses
memory_random,random_store64,256.0 KiB,,ns,200000,1600000,106320,0.531600000,14.015389,4.711317,permuted 64-bit addresses
memory_random,random_rmw64,256.0 KiB,,ns,400000,3200000,107012,0.267530000,27.849514,6.877221,load plus store at permuted address
