section,name,variant,value,unit,ops,raw_median_ticks,baseline_median_ticks,corrected_median_ticks,ns_per_op,raw_cv_percent
host,brand,sysctl,Apple M4 Pro,,0,0,0,0,0,0
host,logical_cpus,sysctl,14,count,0,0,0,0,0,0
host,p_physical_cpus,sysctl,10,count,0,0,0,0,0,0
host,e_physical_cpus,sysctl,4,count,0,0,0,0,0,0
host,p_l1i,sysctl,196608,bytes,0,0,0,0,0,0
host,p_l1d,sysctl,131072,bytes,0,0,0,0,0,0
host,e_l1i,sysctl,131072,bytes,0,0,0,0,0,0
host,e_l1d,sysctl,65536,bytes,0,0,0,0,0,0
host,feat_sme,sysctl,1,bool,0,0,0,0,0,0
host,page_size,getpagesize,16384,bytes,0,0,0,0,0,0
timer,cntfrq,cntfrq_el0,1000000000,Hz,0,0,0,0,0,0
timer,cntvct_sleep,20ms,25012248.000,ns,0,0,0,0,0,0
timer,mach_sleep,20ms,25012750.000,ns,0,0,0,0,0,0
hygiene,empty_loop,loop_only,,ns,800000,198873,0,198873,0.248591250,5.325935
hygiene,nop,8_per_block,,ns,6400000,181148,181188,1,0.000000156,0.015705
core_class,qos_dep_add,user_interactive,,ns,6400000,1466636,181273,1285363,0.200837969,3.443359
core_class,qos_dep_add,user_initiated,,ns,6400000,1464885,181190,1283695,0.200577344,3.543922
core_class,qos_dep_add,utility,,ns,6400000,1469761,181230,1288531,0.201332969,3.673638
core_class,qos_dep_add,background,,ns,6400000,1464511,181189,1283322,0.200519063,5.756860
int_scalar,dep_add,8_chain,,ns,6400000,1464344,181190,1283154,0.200492813,5.033798
int_scalar,dep_sub,8_chain,,ns,6400000,1460344,181171,1279173,0.199870781,3.639240
int_scalar,dep_logic,8_mixed,,ns,6400000,1464552,181230,1283322,0.200519063,4.300402
int_scalar,dep_shift,8_mixed,,ns,6400000,1464386,181230,1283156,0.200493125,5.697583
int_scalar,dep_mul,8_chain,,ns,6400000,4564244,181231,4383013,0.684845781,2.701226
int_scalar,dep_madd,4_chain,,ns,3200000,2949312,181231,2768081,0.865025313,4.832556
int_scalar,dep_umulh,4_chain,,ns,3200000,2203433,181231,2022202,0.631938125,3.277823
int_scalar,dep_udiv,2_chain,,ns,100000,196206,11393,184813,1.848130000,8.985982
int_scalar,thr_add,8_independent,,ns,6400000,247891,181189,66702,0.010422187,3.024412
int_scalar,thr_mul,4_independent,,ns,3200000,557126,185480,371646,0.116139375,5.477329
fp_scalar,dep_fadd64,8_chain,,ns,6400000,3053758,177438,2876320,0.449425000,3.098396
fp_scalar,dep_fmul64,8_chain,,ns,6400000,4567203,177480,4389723,0.685894219,2.551518
fp_scalar,dep_fmadd64,4_chain,,ns,3200000,2246884,177481,2069403,0.646688438,2.637170
fp_scalar,thr_fadd64,4_independent,,ns,3200000,410146,187564,222582,0.069556875,3.350722
fp_scalar,thr_fmul64,4_independent,,ns,3200000,585935,177355,408580,0.127681250,7.904339
neon,fadd32x4,4_chain,,ns,12800000,1510404,177397,1333007,0.104141172,2.682376
neon,fmla32x4,4_chain,,ns,12800000,2213640,177522,2036118,0.159071719,2.741112
load_store,l1_load,8_independent,,ns,6400000,731130,177314,553816,0.086533750,4.901751
load_store,l1_store,8_independent,,ns,6400000,709238,177315,531923,0.083112969,2.492804
load_store,store_load,forward_same_addr,,ns,1600000,1773062,177355,1595707,0.997316875,2.621046
load_store,load_align,aligned,,ns,6400000,472823,177338,295485,0.046169531,3.832969
load_store,load_align,unaligned+1,,ns,6400000,474240,177355,296885,0.046388281,3.395195
load_store,load_align,split_line,,ns,6400000,472865,177314,295551,0.046179844,5.786537
frontend,nop_stream,8_nops,,ns,6400000,177337,177337,1,0.000000156,2.087926
frontend,branch,uncond_taken4,,ns,3200000,709196,177355,531841,0.166200313,5.364367
frontend,branch,cond_not_taken4,,ns,3200000,443306,181231,262075,0.081898438,5.122202
frontend,call_ret,4_calls,,ns,800000,398938,44351,354587,0.443233750,0.008178
cache,ptr_chase_64B,4.0 KiB,,ns,262144,174273,0,174273,0.664798737,3.952641
cache,ptr_chase_64B,8.0 KiB,,ns,262144,174273,0,174273,0.664798737,7.624124
cache,ptr_chase_64B,16.0 KiB,,ns,262144,174272,0,174272,0.664794922,0.754627
cache,ptr_chase_64B,32.0 KiB,,ns,262144,174272,0,174272,0.664794922,0.015460
cache,ptr_chase_64B,64.0 KiB,,ns,262144,174255,0,174255,0.664730072,0.015949
cache,ptr_chase_64B,128.0 KiB,,ns,262144,174355,0,174355,0.665111542,6.973780
cache,ptr_chase_64B,256.0 KiB,,ns,262144,1054723,0,1054723,4.023448944,4.024528
cache,ptr_chase_64B,512.0 KiB,,ns,262144,1381499,0,1381499,5.270000458,8.684984
cache,ptr_chase_64B,1.0 MiB,,ns,262144,1510295,0,1510295,5.761318207,5.192058
cache,ptr_chase_64B,2.0 MiB,,ns,524288,3115084,0,3115084,5.941551208,3.013899
cache,ptr_chase_64B,4.0 MiB,,ns,1048576,7903220,0,7903220,7.537097931,0.636958
